Song,Artist,Rank_Default,Rank_LastWeek,Rank_Peak,Num_Weeks_on_Chart,Curr_Week
Blinding Lights,The Weeknd,1.0,2.0,1,20,2020-04-25
Toosie Slide,Drake,-1.0,1.0,1,2,2020-04-25
The Box,Roddy Ricch,0.0,3.0,1,19,2020-04-25
Don't Start Now,Dua Lipa,0.0,4.0,2,24,2020-04-25
Say So,Doja Cat,3.0,8.0,5,15,2020-04-25
Adore You,Harry Styles,1.0,7.0,6,19,2020-04-25
Circles,Post Malone,-1.0,6.0,1,33,2020-04-25
Life Is Good,Future Featuring Drake,-3.0,5.0,2,14,2020-04-25
Intentions,Justin Bieber Featuring Quavo,0.0,9.0,8,10,2020-04-25
everything i wanted,Billie Eilish,0.0,10.0,8,23,2020-04-25
Someone You Loved,Lewis Capaldi,0.0,11.0,1,49,2020-04-25
My Oh My,Camila Cabello Featuring DaBaby,1.0,13.0,12,19,2020-04-25
The Bones,Maren Morris,-1.0,12.0,12,30,2020-04-25
Savage,Megan Thee Stallion,0.0,14.0,14,5,2020-04-25
Memories,Maroon 5,0.0,15.0,2,30,2020-04-25
Blueberry Faygo,Lil Mosey,2.0,18.0,16,10,2020-04-25
I Hope,Gabby Barrett,3.0,20.0,17,16,2020-04-25
Nobody But You,Blake Shelton Duet With Gwen Stefani,6.0,24.0,18,14,2020-04-25
Roxanne,Arizona Zervas,-3.0,16.0,4,24,2020-04-25
Hot Girl Bummer,blackbear,-3.0,17.0,11,31,2020-04-25
Heartless,The Weeknd,-2.0,19.0,1,21,2020-04-25
Falling,Trevor Daniel,1.0,23.0,22,22,2020-04-25
Level Of Concern,twenty one pilots,0.0,0.0,23,1,2020-04-25
Dance Monkey,Tones And I,-3.0,21.0,4,28,2020-04-25
Chasin' You,Morgan Wallen,2.0,27.0,25,12,2020-04-25
Roses (Imanbek Remix),SAINt JHN,4.0,30.0,26,4,2020-04-25
Ballin',Mustard & Roddy Ricch,-1.0,26.0,11,39,2020-04-25
Heart On Ice,Rod Wave,-3.0,25.0,25,23,2020-04-25
High Fashion,Roddy Ricch Featuring Mustard,2.0,31.0,20,16,2020-04-25
death bed,Powfu Featuring beabadoobee,3.0,33.0,30,5,2020-04-25
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,-3.0,28.0,26,21,2020-04-25
More Hearts Than Mine,Ingrid Andress,5.0,37.0,32,16,2020-04-25
Stupid Love,Lady Gaga,-1.0,32.0,5,7,2020-04-25
"10,000 Hours",Dan + Shay & Justin Bieber,0.0,34.0,4,28,2020-04-25
Break My Heart,Dua Lipa,4.0,39.0,21,3,2020-04-25
Whats Poppin,Jack Harlow,0.0,36.0,36,10,2020-04-25
Catch,Brett Young,-8.0,29.0,29,12,2020-04-25
Sunday Best,Surfaces,6.0,44.0,38,7,2020-04-25
BOP,DaBaby,-4.0,35.0,11,29,2020-04-25
No Guidance,Chris Brown Featuring Drake,-2.0,38.0,5,45,2020-04-25
I Love Me,Demi Lovato,0.0,41.0,18,6,2020-04-25
I Hope You're Happy Now,Carly Pearce & Lee Brice,9.0,51.0,42,15,2020-04-25
Slide,H.E.R. Featuring YG,2.0,45.0,43,17,2020-04-25
Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,10.0,54.0,44,5,2020-04-25
In Your Eyes,The Weeknd,2.0,47.0,16,4,2020-04-25
Dior,Pop Smoke,9.0,55.0,30,9,2020-04-25
Suicidal,YNW Melly & Juice WRLD,-4.0,43.0,20,20,2020-04-25
Does To Me,Luke Combs Featuring Eric Church,2.0,50.0,48,5,2020-04-25
Hard To Forget,Sam Hunt,-9.0,40.0,40,3,2020-04-25
Slow Dance In A Parking Lot,Jordan Davis,-8.0,42.0,37,15,2020-04-25
Find My Way,DaBaby,-29.0,22.0,22,2,2020-04-25
BEST ON EARTH,Russ & BIA,-3.0,49.0,46,19,2020-04-25
Sum 2 Prove,Lil Baby,3.0,56.0,16,14,2020-04-25
Stupid Again,Tory Lanez,0.0,0.0,54,1,2020-04-25
After A Few,Travis Denning,14.0,69.0,55,3,2020-04-25
Godzilla,Eminem Featuring Juice WRLD,-3.0,53.0,3,13,2020-04-25
Before You Go,Lewis Capaldi,6.0,63.0,57,11,2020-04-25
Supalonely,BENEE Featuring Gus Dapperton,3.0,61.0,58,5,2020-04-25
Boyfriend,Selena Gomez,0.0,0.0,59,1,2020-04-25
Walk Em Down,NLE Choppa Featuring Roddy Ricch,0.0,60.0,57,4,2020-04-25
BELIEVE IT,PARTYNEXTDOOR & Rihanna,-3.0,58.0,23,3,2020-04-25
Yo Perreo Sola,Bad Bunny,-3.0,59.0,53,5,2020-04-25
Turks,"NAV, Gunna & Travis Scott",-17.0,46.0,17,3,2020-04-25
Broke In A Minute,Tory Lanez,0.0,0.0,64,1,2020-04-25
You should be sad,Halsey,-13.0,52.0,26,14,2020-04-25
Come Thru,Summer Walker & Usher,2.0,68.0,42,16,2020-04-25
Homemade,Jake Owen,-10.0,57.0,39,12,2020-04-25
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,-3.0,65.0,65,12,2020-04-25
Tusa,Karol G & Nicki Minaj,-3.0,66.0,42,20,2020-04-25
P*$$y Fairy (OTW),Jhene Aiko,0.0,70.0,40,13,2020-04-25
OUT WEST,JACKBOYS Featuring Young Thug,2.0,73.0,38,14,2020-04-25
Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",-1.0,71.0,71,2,2020-04-25
If The World Was Ending,JP Saxe Featuring Julia Michaels,10.0,83.0,73,3,2020-04-25
Myron,Lil Uzi Vert,-2.0,72.0,13,5,2020-04-25
Bluebird,Miranda Lambert,6.0,81.0,75,2,2020-04-25
The Other Side,SZA X Justin Timberlake,-1.0,75.0,61,7,2020-04-25
What She Wants Tonight,Luke Bryan,-15.0,62.0,46,17,2020-04-25
Sigues Con El,Arcangel x Sech,0.0,0.0,78,1,2020-04-25
Here And Now,Kenny Chesney,14.0,93.0,79,2,2020-04-25
Die From A Broken Heart,Maddie & Tae,0.0,0.0,80,1,2020-04-25
Underdog,Alicia Keys,-2.0,79.0,69,4,2020-04-25
Emotionally Scarred,Lil Baby,3.0,85.0,31,7,2020-04-25
That Way,Lil Uzi Vert,4.0,87.0,20,7,2020-04-25
DND,Polo G,0.0,0.0,84,1,2020-04-25
July,Noah Cyrus & Leon Bridges,12.0,97.0,85,7,2020-04-25
Safaera,"Bad Bunny, Jowell & Randy & Nengo Flow",0.0,86.0,81,5,2020-04-25
Ridin' Roads,Dustin Lynch,4.0,91.0,47,20,2020-04-25
The Man,Taylor Swift,0.0,88.0,23,8,2020-04-25
Oprah's Bank Account,"Lil Yachty, Drake & DaBaby",-9.0,80.0,55,6,2020-04-25
PTSD,"G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",0.0,0.0,38,3,2020-04-25
Grace,Lil Baby & 42 Dugg,9.0,100.0,48,7,2020-04-25
P2,Lil Uzi Vert,0.0,92.0,11,6,2020-04-25
In Between,Scotty McCreery,0.0,0.0,93,1,2020-04-25
Yummy,Justin Bieber,0.0,94.0,2,15,2020-04-25
Captain Hook,Megan Thee Stallion,0.0,0.0,74,2,2020-04-25
Ride It.,Regard,0.0,0.0,96,1,2020-04-25
B.I.T.C.H.,Megan Thee Stallion,-15.0,82.0,31,10,2020-04-25
Girl Of My Dreams,Rod Wave,0.0,0.0,98,1,2020-04-25
B.S.,Jhene Aiko Featuring H.E.R.,0.0,0.0,24,5,2020-04-25
Boss Bitch,Doja Cat,0.0,0.0,100,1,2020-04-25
