Song,Artist,Rank_Default,Rank_LastWeek,Rank_Peak,Num_Weeks_on_Chart,Curr_Week
Blinding Lights,The Weeknd,0.0,1.0,1,21,2020-05-02
Toosie Slide,Drake,0.0,2.0,1,3,2020-05-02
The Box,Roddy Ricch,0.0,3.0,1,20,2020-05-02
Don't Start Now,Dua Lipa,0.0,4.0,2,25,2020-05-02
Say So,Doja Cat,0.0,5.0,5,16,2020-05-02
Circles,Post Malone,1.0,7.0,1,34,2020-05-02
Adore You,Harry Styles,-1.0,6.0,6,20,2020-05-02
Intentions,Justin Bieber Featuring Quavo,1.0,9.0,8,11,2020-05-02
ROCKSTAR,DaBaby Featuring Roddy Ricch,0.0,0.0,9,1,2020-05-02
Life Is Good,Future Featuring Drake,-2.0,8.0,2,15,2020-05-02
everything i wanted,Billie Eilish,-1.0,10.0,8,24,2020-05-02
My Oh My,Camila Cabello Featuring DaBaby,0.0,12.0,12,20,2020-05-02
The Bones,Maren Morris,0.0,13.0,12,31,2020-05-02
Savage,Megan Thee Stallion,0.0,14.0,14,6,2020-05-02
Someone You Loved,Lewis Capaldi,-4.0,11.0,1,50,2020-05-02
I Hope,Gabby Barrett,1.0,17.0,16,17,2020-05-02
JUMP,DaBaby Featuring YoungBoy Never Broke Again,0.0,0.0,17,1,2020-05-02
Memories,Maroon 5,-3.0,15.0,2,31,2020-05-02
Blueberry Faygo,Lil Mosey,-3.0,16.0,16,11,2020-05-02
Nobody But You,Blake Shelton Duet With Gwen Stefani,-2.0,18.0,18,15,2020-05-02
Chasin' You,Morgan Wallen,4.0,25.0,21,13,2020-05-02
Roses (Imanbek Remix),SAINt JHN,4.0,26.0,22,5,2020-05-02
Falling,Trevor Daniel,-1.0,22.0,22,23,2020-05-02
Hot Girl Bummer,blackbear,-4.0,20.0,11,32,2020-05-02
High Fashion,Roddy Ricch Featuring Mustard,4.0,29.0,20,17,2020-05-02
Roxanne,Arizona Zervas,-7.0,19.0,4,25,2020-05-02
death bed,Powfu Featuring beabadoobee,3.0,30.0,27,6,2020-05-02
Heartless,The Weeknd,-7.0,21.0,1,22,2020-05-02
Heart On Ice,Rod Wave,-1.0,28.0,25,24,2020-05-02
More Hearts Than Mine,Ingrid Andress,2.0,32.0,30,17,2020-05-02
Dance Monkey,Tones And I,-7.0,24.0,4,29,2020-05-02
Ballin',Mustard & Roddy Ricch,-5.0,27.0,11,40,2020-05-02
Find My Way,DaBaby,18.0,51.0,22,3,2020-05-02
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,-3.0,31.0,26,22,2020-05-02
@ MEH,Playboi Carti,0.0,0.0,35,1,2020-05-02
I'm Ready,Sam Smith & Demi Lovato,0.0,0.0,36,1,2020-05-02
Whats Poppin,Jack Harlow,-1.0,36.0,36,11,2020-05-02
Sunday Best,Surfaces,0.0,38.0,38,8,2020-05-02
Break My Heart,Dua Lipa,-4.0,35.0,21,4,2020-05-02
Does To Me,Luke Combs Featuring Eric Church,8.0,48.0,40,6,2020-05-02
"10,000 Hours",Dan + Shay & Justin Bieber,-7.0,34.0,4,29,2020-05-02
I Love Me,Demi Lovato,-1.0,41.0,18,7,2020-05-02
BOP,DaBaby,-4.0,39.0,11,30,2020-05-02
PICK UP,DaBaby Featuring Quavo,0.0,0.0,44,1,2020-05-02
Level Of Concern,twenty one pilots,-22.0,23.0,23,2,2020-05-02
Stupid Love,Lady Gaga,-13.0,33.0,5,8,2020-05-02
I Hope You're Happy Now,Carly Pearce & Lee Brice,-5.0,42.0,42,16,2020-05-02
No Guidance,Chris Brown Featuring Drake,-8.0,40.0,5,46,2020-05-02
Hard To Forget,Sam Hunt,0.0,49.0,40,4,2020-05-02
NASTY,DaBaby Featuring Ashanti & Megan Thee Stallion,0.0,0.0,50,1,2020-05-02
Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,-7.0,44.0,44,6,2020-05-02
Catch,Brett Young,-15.0,37.0,29,13,2020-05-02
LIGHTSKIN SH*T,DaBaby Featuring Future & jetsonmade,0.0,0.0,53,1,2020-05-02
Dior,Pop Smoke,-8.0,46.0,30,10,2020-05-02
In Your Eyes,The Weeknd,-10.0,45.0,16,5,2020-05-02
After A Few,Travis Denning,-1.0,55.0,55,4,2020-05-02
Before You Go,Lewis Capaldi,0.0,57.0,57,12,2020-05-02
Slide,H.E.R. Featuring YG,-15.0,43.0,43,18,2020-05-02
Supalonely,BENEE Featuring Gus Dapperton,-1.0,58.0,58,6,2020-05-02
Sum 2 Prove,Lil Baby,-7.0,53.0,16,15,2020-05-02
More Than My Hometown,Morgan Wallen,0.0,0.0,61,1,2020-05-02
BEST ON EARTH,Russ & BIA,-10.0,52.0,46,20,2020-05-02
CAN'T STOP,DaBaby,0.0,0.0,63,1,2020-05-02
BLAME IT ON BABY,DaBaby,0.0,0.0,64,1,2020-05-02
Walk Em Down,NLE Choppa Featuring Roddy Ricch,-5.0,60.0,57,5,2020-05-02
Godzilla,Eminem Featuring Juice WRLD,-10.0,56.0,3,14,2020-05-02
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,1.0,68.0,65,13,2020-05-02
Yo Perreo Sola,Bad Bunny,-6.0,62.0,53,6,2020-05-02
SAD SHIT,DaBaby,0.0,0.0,69,1,2020-05-02
Tusa,Karol G & Nicki Minaj,-1.0,69.0,42,21,2020-05-02
DROP,DaBaby Featuring A Boogie Wit da Hoodie & London On Da Track,0.0,0.0,71,1,2020-05-02
OUT WEST,JACKBOYS Featuring Young Thug,-1.0,71.0,38,15,2020-05-02
Slow Dance In A Parking Lot,Jordan Davis,-23.0,50.0,37,16,2020-05-02
TALK ABOUT IT,DaBaby,0.0,0.0,74,1,2020-05-02
BELIEVE IT,PARTYNEXTDOOR & Rihanna,-14.0,61.0,23,4,2020-05-02
P*$$y Fairy (OTW),Jhene Aiko,-6.0,70.0,40,14,2020-05-02
If The World Was Ending,JP Saxe Featuring Julia Michaels,-4.0,73.0,73,4,2020-05-02
Turks,"NAV, Gunna & Travis Scott",-15.0,63.0,17,4,2020-05-02
Come Thru,Summer Walker & Usher,-13.0,66.0,42,17,2020-05-02
You should be sad,Halsey,-15.0,65.0,26,15,2020-05-02
Homemade,Jake Owen,-14.0,67.0,39,13,2020-05-02
Bluebird,Miranda Lambert,-7.0,75.0,75,3,2020-05-02
Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",-11.0,72.0,71,3,2020-05-02
Emotionally Scarred,Lil Baby,-2.0,82.0,31,8,2020-05-02
CHAMPION,DaBaby,0.0,0.0,85,1,2020-05-02
I Dare You,Kelly Clarkson,0.0,0.0,86,1,2020-05-02
Here And Now,Kenny Chesney,-8.0,79.0,79,3,2020-05-02
Myron,Lil Uzi Vert,-14.0,74.0,13,6,2020-05-02
In Between,Scotty McCreery,4.0,93.0,89,2,2020-05-02
Broke In A Minute,Tory Lanez,-26.0,64.0,64,2,2020-05-02
That Way,Lil Uzi Vert,-8.0,83.0,20,8,2020-05-02
After Party,Don Toliver,0.0,0.0,92,1,2020-05-02
July,Noah Cyrus & Leon Bridges,-8.0,85.0,85,8,2020-05-02
Die From A Broken Heart,Maddie & Tae,-14.0,80.0,80,2,2020-05-02
Ride It.,Regard,1.0,96.0,95,2,2020-05-02
Captain Hook,Megan Thee Stallion,-1.0,95.0,74,3,2020-05-02
God Whispered Your Name,Keith Urban,0.0,0.0,97,1,2020-05-02
PTSD,"G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",-8.0,90.0,38,4,2020-05-02
Safaera,"Bad Bunny, Jowell & Randy & Nengo Flow",-13.0,86.0,81,6,2020-05-02
Girl Of My Dreams,Rod Wave,-2.0,98.0,98,2,2020-05-02
