Song,Artist,Rank_Default,Rank_LastWeek,Rank_Peak,Num_Weeks_on_Chart,Curr_Week
Blinding Lights,The Weeknd,0.0,1.0,1,21,2020-04-26
Toosie Slide,Drake,0.0,2.0,1,3,2020-04-26
The Box,Roddy Ricch,0.0,3.0,1,20,2020-04-26
Don't Start Now,Dua Lipa,0.0,4.0,2,25,2020-04-26
Say So,Doja Cat Featuring Nicki Minaj,0.0,5.0,5,16,2020-04-26
Circles,Post Malone,1.0,7.0,1,34,2020-04-26
Adore You,Harry Styles,-1.0,6.0,6,20,2020-04-26
Intentions,Justin Bieber Featuring Quavo,1.0,9.0,8,11,2020-04-26
Rockstar,DaBaby Featuring Roddy Ricch,0.0,0.0,9,1,2020-04-26
Life Is Good,Future Featuring Drake,-2.0,8.0,2,15,2020-04-26
Everything I Wanted,Billie Eilish,-1.0,10.0,8,24,2020-04-26
My Oh My,Camila Cabello Featuring DaBaby,0.0,12.0,12,20,2020-04-26
The Bones,Maren Morris,0.0,13.0,12,31,2020-04-26
Savage,Megan Thee Stallion Featuring Beyonce,0.0,14.0,14,6,2020-04-26
Someone You Loved,Lewis Capaldi,-4.0,11.0,1,50,2020-04-26
I Hope,Gabby Barrett,1.0,17.0,16,17,2020-04-26
Jump,DaBaby Featuring YoungBoy Never Broke Again,0.0,0.0,17,1,2020-04-26
Memories,Maroon 5,-3.0,15.0,2,31,2020-04-26
Blueberry Faygo,Lil Mosey,-3.0,16.0,16,11,2020-04-26
Nobody But You,Blake Shelton Duet With Gwen Stefani,-2.0,18.0,18,15,2020-04-26
Chasin' You,Morgan Wallen,4.0,25.0,21,13,2020-04-26
Roses (Imanbek Remix),SAINt JHN,4.0,26.0,22,5,2020-04-26
Falling,Trevor Daniel,-1.0,22.0,22,23,2020-04-26
Hot Girl Bummer,blackbear,-4.0,20.0,11,32,2020-04-26
High Fashion,Roddy Ricch Featuring Mustard,4.0,29.0,20,17,2020-04-26
Roxanne,Arizona Zervas,-7.0,19.0,4,25,2020-04-26
Death Bed,Powfu Featuring beabadoobee,3.0,30.0,27,6,2020-04-26
Heartless,The Weeknd,-7.0,21.0,1,22,2020-04-26
Heart On Ice,Rod Wave,-1.0,28.0,25,24,2020-04-26
More Hearts Than Mine,Ingrid Andress,2.0,32.0,30,17,2020-04-26
Dance Monkey,Tones And I,-7.0,24.0,4,29,2020-04-26
Ballin',Mustard & Roddy Ricch,-5.0,27.0,11,40,2020-04-26
Find My Way,DaBaby,18.0,51.0,22,3,2020-04-26
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,-3.0,31.0,26,22,2020-04-26
@ MEH,Playboi Carti,0.0,0.0,35,1,2020-04-26
I'm Ready,Sam Smith & Demi Lovato,0.0,0.0,36,1,2020-04-26
Whats Poppin,Jack Harlow,-1.0,36.0,36,11,2020-04-26
Sunday Best,Surfaces,0.0,38.0,38,8,2020-04-26
Break My Heart,Dua Lipa,-4.0,35.0,21,4,2020-04-26
Does To Me,Luke Combs Featuring Eric Church,8.0,48.0,40,6,2020-04-26
"10,000 Hours",Dan + Shay & Justin Bieber,-7.0,34.0,4,29,2020-04-26
I Love Me,Demi Lovato,-1.0,41.0,18,7,2020-04-26
BOP,DaBaby,-4.0,39.0,11,30,2020-04-26
PICK UP,DaBaby Featuring Quavo,0.0,0.0,44,1,2020-04-26
Level Of Concern,twenty one pilots,-22.0,23.0,23,2,2020-04-26
Stupid Love,Lady Gaga,-13.0,33.0,5,8,2020-04-26
I Hope You're Happy Now,Carly Pearce & Lee Brice,-5.0,42.0,42,16,2020-04-26
No Guidance,Chris Brown Featuring Drake,-8.0,40.0,5,46,2020-04-26
Hard To Forget,Sam Hunt,0.0,49.0,40,4,2020-04-26
NASTY,DaBaby Featuring Ashanti & Megan Thee Stallion,0.0,0.0,50,1,2020-04-26
Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,-7.0,44.0,44,6,2020-04-26
Catch,Brett Young,-15.0,37.0,29,13,2020-04-26
LIGHTSKIN SH*T,DaBaby Featuring Future & jetsonmade,0.0,0.0,53,1,2020-04-26
Dior,Pop Smoke,-8.0,46.0,30,10,2020-04-26
In Your Eyes,The Weeknd,-10.0,45.0,16,5,2020-04-26
After A Few,Travis Denning,-1.0,55.0,55,4,2020-04-26
Before You Go,Lewis Capaldi,0.0,57.0,57,12,2020-04-26
Slide,H.E.R. Featuring YG,-15.0,43.0,43,18,2020-04-26
Supalonely,BENEE Featuring Gus Dapperton,-1.0,58.0,58,6,2020-04-26
Sum 2 Prove,Lil Baby,-7.0,53.0,16,15,2020-04-26
More Than My Hometown,Morgan Wallen,0.0,0.0,61,1,2020-04-26
BEST ON EARTH,Russ & BIA,-10.0,52.0,46,20,2020-04-26
CAN'T STOP,DaBaby,0.0,0.0,63,1,2020-04-26
BLAME IT ON BABY,DaBaby,0.0,0.0,64,1,2020-04-26
Walk Em Down,NLE Choppa Featuring Roddy Ricch,-5.0,60.0,57,5,2020-04-26
Godzilla,Eminem Featuring Juice WRLD,-10.0,56.0,3,14,2020-04-26
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,1.0,68.0,65,13,2020-04-26
Yo Perreo Sola,Bad Bunny,-6.0,62.0,53,6,2020-04-26
SAD SHIT,DaBaby,0.0,0.0,69,1,2020-04-26
Tusa,Karol G & Nicki Minaj,-1.0,69.0,42,21,2020-04-26
DROP,DaBaby Featuring A Boogie Wit da Hoodie & London On Da Track,0.0,0.0,71,1,2020-04-26
Out West,JACKBOYS Featuring Young Thug,-1.0,71.0,38,15,2020-04-26
Slow Dance In A Parking Lot,Jordan Davis,-23.0,50.0,37,16,2020-04-26
