Song,Artist,Rank_Default,Rank_LastWeek,Rank_Peak,Num_Weeks_on_Chart,Curr_Week
TALK ABOUT IT,DaBaby,0.0,0.0,74,1,2020-04-26
Believe It,PARTYNEXTDOOR & Rihanna,-14.0,61.0,23,4,2020-04-26
P*$$y Fairy (OTW),Jhene Aiko,-6.0,70.0,40,14,2020-04-26
If The World Was Ending,JP Saxe Featuring Julia Michaels,-4.0,73.0,73,4,2020-04-26
Turks,"NAV, Gunna & Travis Scott",-15.0,63.0,17,4,2020-04-26
Come Thru,Summer Walker & Usher,-13.0,66.0,42,17,2020-04-26
You Should Be Sad,Halsey,-15.0,65.0,26,15,2020-04-26
Homemade,Jake Owen,-14.0,67.0,39,13,2020-04-26
Bluebird,Miranda Lambert,-7.0,75.0,75,3,2020-04-26
Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",-11.0,72.0,71,3,2020-04-26
Emotionally Scarred,Lil Baby,-2.0,82.0,31,8,2020-04-26
CHAMPION,DaBaby,0.0,0.0,85,1,2020-04-26
I Dare You,Kelly Clarkson,0.0,0.0,86,1,2020-04-26
Here And Now,Kenny Chesney,-8.0,79.0,79,3,2020-04-26
Myron,Lil Uzi Vert,-14.0,74.0,13,6,2020-04-26
In Between,Scotty McCreery,4.0,93.0,89,2,2020-04-26
Broke In A Minute,Tory Lanez,-26.0,64.0,64,2,2020-04-26
That Way,Lil Uzi Vert,-8.0,83.0,20,8,2020-04-26
After Party,Don Toliver,0.0,0.0,92,1,2020-04-26
July,Noah Cyrus & Leon Bridges,-8.0,85.0,85,8,2020-04-26
Die From A Broken Heart,Maddie & Tae,-14.0,80.0,80,2,2020-04-26
Ride It.,Regard,1.0,96.0,95,2,2020-04-26
Captain Hook,Megan Thee Stallion,-1.0,95.0,74,3,2020-04-26
God Whispered Your Name,Keith Urban,0.0,0.0,97,1,2020-04-26
PTSD,"G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",-8.0,90.0,38,4,2020-04-26
Safaera,"Bad Bunny, Jowell & Randy & Nengo Flow",-13.0,86.0,81,6,2020-04-26
Girl Of My Dreams,Rod Wave,-2.0,98.0,98,2,2020-04-26
