Song,Artist,Rank_Default,Rank_LastWeek,Rank_Peak,Num_Weeks_on_Chart,Curr_Week
Toosie Slide,Drake,0.0,0.0,1,1,2020-04-12
Blinding Lights,The Weeknd,-1.0,1.0,1,19,2020-04-12
The Box,Roddy Ricch,-1.0,2.0,1,18,2020-04-12
Don't Start Now,Dua Lipa,-1.0,3.0,2,23,2020-04-12
Life Is Good,Future Featuring Drake,0.0,5.0,2,13,2020-04-12
Circles,Post Malone,-2.0,4.0,1,32,2020-04-12
Adore You,Harry Styles,-1.0,6.0,6,18,2020-04-12
Say So,Doja Cat Featuring Nicki Minaj,-1.0,7.0,7,14,2020-04-12
Intentions,Justin Bieber Featuring Quavo,-1.0,8.0,8,9,2020-04-12
Everything I Wanted,Billie Eilish,-1.0,9.0,8,22,2020-04-12
Someone You Loved,Lewis Capaldi,-1.0,10.0,1,48,2020-04-12
The Bones,Maren Morris,2.0,14.0,12,29,2020-04-12
My Oh My,Camila Cabello Featuring DaBaby,2.0,15.0,13,18,2020-04-12
Savage,Megan Thee Stallion Featuring Beyonce,4.0,18.0,14,4,2020-04-12
Memories,Maroon 5,-2.0,13.0,2,29,2020-04-12
Roxanne,Arizona Zervas,-5.0,11.0,4,23,2020-04-12
Hot Girl Bummer,blackbear,-1.0,16.0,11,30,2020-04-12
Blueberry Faygo,Lil Mosey,1.0,19.0,18,9,2020-04-12
Heartless,The Weeknd,-7.0,12.0,1,20,2020-04-12
I Hope,Gabby Barrett,2.0,22.0,20,15,2020-04-12
Dance Monkey,Tones And I,-1.0,20.0,4,27,2020-04-12
Find My Way,DaBaby,0.0,0.0,22,1,2020-04-12
Falling,Trevor Daniel,2.0,25.0,23,21,2020-04-12
Nobody But You,Blake Shelton Duet With Gwen Stefani,8.0,32.0,24,13,2020-04-12
Heart On Ice,Rod Wave,5.0,30.0,25,22,2020-04-12
Ballin',Mustard & Roddy Ricch,-2.0,24.0,11,38,2020-04-12
Chasin' You,Morgan Wallen,9.0,36.0,27,11,2020-04-12
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,-2.0,26.0,26,20,2020-04-12
Catch,Brett Young,11.0,40.0,29,11,2020-04-12
Roses (Imanbek Remix),SAINt JHN,9.0,39.0,30,3,2020-04-12
High Fashion,Roddy Ricch Featuring Mustard,0.0,31.0,20,15,2020-04-12
Stupid Love,Lady Gaga,-5.0,27.0,5,6,2020-04-12
Death Bed,Powfu Featuring beabadoobee,10.0,43.0,33,4,2020-04-12
"10,000 Hours",Dan + Shay & Justin Bieber,-6.0,28.0,4,27,2020-04-12
BOP,DaBaby,-6.0,29.0,11,28,2020-04-12
Whats Poppin,Jack Harlow,13.0,49.0,36,9,2020-04-12
More Hearts Than Mine,Ingrid Andress,7.0,44.0,37,15,2020-04-12
No Guidance,Chris Brown Featuring Drake,-3.0,35.0,5,44,2020-04-12
Break My Heart,Dua Lipa,-18.0,21.0,21,2,2020-04-12
Hard To Forget,Sam Hunt,51.0,91.0,40,2,2020-04-12
I Love Me,Demi Lovato,0.0,41.0,18,5,2020-04-12
Slow Dance In A Parking Lot,Jordan Davis,-5.0,37.0,37,14,2020-04-12
Suicidal,YNW Melly & Juice WRLD,-10.0,33.0,20,19,2020-04-12
Sunday Best,Surfaces,8.0,52.0,44,6,2020-04-12
Slide,H.E.R. Featuring YG,0.0,45.0,45,16,2020-04-12
Turks,"NAV, Gunna & Travis Scott",-29.0,17.0,17,2,2020-04-12
In Your Eyes,The Weeknd,-5.0,42.0,16,3,2020-04-12
Homesick,Kane Brown,-10.0,38.0,35,21,2020-04-12
BEST ON EARTH,Russ & BIA,-1.0,48.0,46,18,2020-04-12
Does To Me,Luke Combs Featuring Eric Church,9.0,59.0,50,4,2020-04-12
I Hope You're Happy Now,Carly Pearce & Lee Brice,7.0,58.0,51,14,2020-04-12
You Should Be Sad,Halsey,-18.0,34.0,26,13,2020-04-12
Godzilla,Eminem Featuring Juice WRLD,-6.0,47.0,3,12,2020-04-12
Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,2.0,56.0,54,4,2020-04-12
Dior,Pop Smoke,-1.0,54.0,30,8,2020-04-12
Sum 2 Prove,Lil Baby,-1.0,55.0,16,13,2020-04-12
Homemade,Jake Owen,-6.0,51.0,39,11,2020-04-12
Believe It,PARTYNEXTDOOR & Rihanna,-35.0,23.0,23,2,2020-04-12
Yo Perreo Sola,Bad Bunny,-6.0,53.0,53,4,2020-04-12
Walk Em Down,NLE Choppa Featuring Roddy Ricch,-3.0,57.0,57,3,2020-04-12
Supalonely,BENEE Featuring Gus Dapperton,1.0,62.0,61,4,2020-04-12
What She Wants Tonight,Luke Bryan,-12.0,50.0,46,16,2020-04-12
Before You Go,Lewis Capaldi,3.0,66.0,63,10,2020-04-12
Fuck The World,Rod Wave,0.0,0.0,64,1,2020-04-12
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,3.0,68.0,65,11,2020-04-12
Tusa,Karol G & Nicki Minaj,-2.0,64.0,42,19,2020-04-12
Pray 4 Love,Rod Wave,0.0,0.0,67,1,2020-04-12
