Song,Artist,Rank_Default,Rank_LastWeek,Rank_Peak,Num_Weeks_on_Chart,Curr_Week
Blinding Lights,The Weeknd,1.0,2.0,1,20,2020-04-20
Toosie Slide,Drake,-1.0,1.0,1,2,2020-04-20
The Box,Roddy Ricch,0.0,3.0,1,19,2020-04-20
Don't Start Now,Dua Lipa,0.0,4.0,2,24,2020-04-20
Say So,Doja Cat Featuring Nicki Minaj,3.0,8.0,5,15,2020-04-20
Adore You,Harry Styles,1.0,7.0,6,19,2020-04-20
Circles,Post Malone,-1.0,6.0,1,33,2020-04-20
Life Is Good,Future Featuring Drake,-3.0,5.0,2,14,2020-04-20
Intentions,Justin Bieber Featuring Quavo,0.0,9.0,8,10,2020-04-20
Everything I Wanted,Billie Eilish,0.0,10.0,8,23,2020-04-20
Someone You Loved,Lewis Capaldi,0.0,11.0,1,49,2020-04-20
My Oh My,Camila Cabello Featuring DaBaby,1.0,13.0,12,19,2020-04-20
The Bones,Maren Morris,-1.0,12.0,12,30,2020-04-20
Savage,Megan Thee Stallion Featuring Beyonce,0.0,14.0,14,5,2020-04-20
Memories,Maroon 5,0.0,15.0,2,30,2020-04-20
Blueberry Faygo,Lil Mosey,2.0,18.0,16,10,2020-04-20
I Hope,Gabby Barrett,3.0,20.0,17,16,2020-04-20
Nobody But You,Blake Shelton Duet With Gwen Stefani,6.0,24.0,18,14,2020-04-20
Roxanne,Arizona Zervas,-3.0,16.0,4,24,2020-04-20
Hot Girl Bummer,blackbear,-3.0,17.0,11,31,2020-04-20
Heartless,The Weeknd,-2.0,19.0,1,21,2020-04-20
Falling,Trevor Daniel,1.0,23.0,22,22,2020-04-20
Level Of Concern,twenty one pilots,0.0,0.0,23,1,2020-04-20
Dance Monkey,Tones And I,-3.0,21.0,4,28,2020-04-20
Chasin' You,Morgan Wallen,2.0,27.0,25,12,2020-04-20
Roses (Imanbek Remix),SAINt JHN,4.0,30.0,26,4,2020-04-20
Ballin',Mustard & Roddy Ricch,-1.0,26.0,11,39,2020-04-20
Heart On Ice,Rod Wave,-3.0,25.0,25,23,2020-04-20
High Fashion,Roddy Ricch Featuring Mustard,2.0,31.0,20,16,2020-04-20
Death Bed,Powfu Featuring beabadoobee,3.0,33.0,30,5,2020-04-20
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,-3.0,28.0,26,21,2020-04-20
More Hearts Than Mine,Ingrid Andress,5.0,37.0,32,16,2020-04-20
Stupid Love,Lady Gaga,-1.0,32.0,5,7,2020-04-20
"10,000 Hours",Dan + Shay & Justin Bieber,0.0,34.0,4,28,2020-04-20
Break My Heart,Dua Lipa,4.0,39.0,21,3,2020-04-20
Whats Poppin,Jack Harlow,0.0,36.0,36,10,2020-04-20
Catch,Brett Young,-8.0,29.0,29,12,2020-04-20
Sunday Best,Surfaces,6.0,44.0,38,7,2020-04-20
BOP,DaBaby,-4.0,35.0,11,29,2020-04-20
No Guidance,Chris Brown Featuring Drake,-2.0,38.0,5,45,2020-04-20
I Love Me,Demi Lovato,0.0,41.0,18,6,2020-04-20
I Hope You're Happy Now,Carly Pearce & Lee Brice,9.0,51.0,42,15,2020-04-20
Slide,H.E.R. Featuring YG,2.0,45.0,43,17,2020-04-20
Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,10.0,54.0,44,5,2020-04-20
In Your Eyes,The Weeknd,2.0,47.0,16,4,2020-04-20
Dior,Pop Smoke,9.0,55.0,30,9,2020-04-20
Suicidal,YNW Melly & Juice WRLD,-4.0,43.0,20,20,2020-04-20
Does To Me,Luke Combs Featuring Eric Church,2.0,50.0,48,5,2020-04-20
Hard To Forget,Sam Hunt,-9.0,40.0,40,3,2020-04-20
Slow Dance In A Parking Lot,Jordan Davis,-8.0,42.0,37,15,2020-04-20
Find My Way,DaBaby,-29.0,22.0,22,2,2020-04-20
BEST ON EARTH,Russ & BIA,-3.0,49.0,46,19,2020-04-20
Sum 2 Prove,Lil Baby,3.0,56.0,16,14,2020-04-20
Stupid Again,Tory Lanez,0.0,0.0,54,1,2020-04-20
After A Few,Travis Denning,14.0,69.0,55,3,2020-04-20
Godzilla,Eminem Featuring Juice WRLD,-3.0,53.0,3,13,2020-04-20
Before You Go,Lewis Capaldi,6.0,63.0,57,11,2020-04-20
Supalonely,BENEE Featuring Gus Dapperton,3.0,61.0,58,5,2020-04-20
Boyfriend,Selena Gomez,0.0,0.0,59,1,2020-04-20
