Song,Artist,Rank_Default,Rank_LastWeek,Rank_Peak,Num_Weeks_on_Chart,Curr_Week
Walk Em Down,NLE Choppa Featuring Roddy Ricch,0.0,60.0,57,4,2020-04-20
Believe It,PARTYNEXTDOOR & Rihanna,-3.0,58.0,23,3,2020-04-20
Yo Perreo Sola,Bad Bunny,-3.0,59.0,53,5,2020-04-20
Turks,"NAV, Gunna & Travis Scott",-17.0,46.0,17,3,2020-04-20
Broke In A Minute,Tory Lanez,0.0,0.0,64,1,2020-04-20
You Should Be Sad,Halsey,-13.0,52.0,26,14,2020-04-20
Come Thru,Summer Walker & Usher,2.0,68.0,42,16,2020-04-20
Homemade,Jake Owen,-10.0,57.0,39,12,2020-04-20
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,-3.0,65.0,65,12,2020-04-20
Tusa,Karol G & Nicki Minaj,-3.0,66.0,42,20,2020-04-20
P*$$y Fairy (OTW),Jhene Aiko,0.0,70.0,40,13,2020-04-20
Out West,JACKBOYS Featuring Young Thug,2.0,73.0,38,14,2020-04-20
Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",-1.0,71.0,71,2,2020-04-20
If The World Was Ending,JP Saxe Featuring Julia Michaels,10.0,83.0,73,3,2020-04-20
Myron,Lil Uzi Vert,-2.0,72.0,13,5,2020-04-20
Bluebird,Miranda Lambert,6.0,81.0,75,2,2020-04-20
The Other Side,SZA X Justin Timberlake,-1.0,75.0,61,7,2020-04-20
What She Wants Tonight,Luke Bryan,-15.0,62.0,46,17,2020-04-20
Sigues Con El,Arcangel x Sech,0.0,0.0,78,1,2020-04-20
Here And Now,Kenny Chesney,14.0,93.0,79,2,2020-04-20
Die From A Broken Heart,Maddie & Tae,0.0,0.0,80,1,2020-04-20
Underdog,Alicia Keys,-2.0,79.0,69,4,2020-04-20
Emotionally Scarred,Lil Baby,3.0,85.0,31,7,2020-04-20
That Way,Lil Uzi Vert,4.0,87.0,20,7,2020-04-20
DND,Polo G,0.0,0.0,84,1,2020-04-20
July,Noah Cyrus & Leon Bridges,12.0,97.0,85,7,2020-04-20
Safaera,"Bad Bunny, Jowell & Randy & Nengo Flow",0.0,86.0,81,5,2020-04-20
Ridin' Roads,Dustin Lynch,4.0,91.0,47,20,2020-04-20
The Man,Taylor Swift,0.0,88.0,23,8,2020-04-20
Oprah's Bank Account,"Lil Yachty, Drake & DaBaby",-9.0,80.0,55,6,2020-04-20
PTSD,"G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",0.0,0.0,38,3,2020-04-20
Grace,Lil Baby & 42 Dugg,9.0,100.0,48,7,2020-04-20
P2,Lil Uzi Vert,0.0,92.0,11,6,2020-04-20
In Between,Scotty McCreery,0.0,0.0,93,1,2020-04-20
Yummy,Justin Bieber,0.0,94.0,2,15,2020-04-20
Captain Hook,Megan Thee Stallion,0.0,0.0,74,2,2020-04-20
Ride It.,Regard,0.0,0.0,96,1,2020-04-20
B.I.T.C.H.,Megan Thee Stallion,-15.0,82.0,31,10,2020-04-20
Girl Of My Dreams,Rod Wave,0.0,0.0,98,1,2020-04-20
B.S.,Jhene Aiko Featuring H.E.R.,0.0,0.0,24,5,2020-04-20
Boss Bitch,Doja Cat,0.0,0.0,100,1,2020-04-20
